PUT,WC,wc
PUT,VL,vl
PUT,WB,wb
PUT,WA,wa
PUT,WO,wo
PUT,WN,wn
PUT,VM,vm
PUT,WM,wm
PUT,GW,gw
PUT,GV,gv
PUT,GU,gu
PUT,GT,gt
PUT,GS,gs
PUT,GR,gr
PUT,GQ,gq
PUT,GP,gp
PUT,WK,wk
PUT,GZ,gz
PUT,GY,gy
PUT,GX,gx
PUT,GG,gg
PUT,GF,gf
PUT,GE,ge
PUT,GD,gd
PUT,GC,gc
PUT,GB,gb
PUT,GA,ga
PUT,GO,go
PUT,GN,gn
PUT,GM,gm
PUT,GL,gl
PUT,GK,gk
PUT,GJ,gj
PUT,GI,gi
PUT,GH,gh
PUT,WW,ww
PUT,WV,wv
PUT,WU,wu
PUT,WT,wt
PUT,VO,vo
PUT,WS,ws
PUT,WR,wr
PUT,WQ,wq
PUT,WP,wp
PUT,WZ,wz
PUT,WY,wy
PUT,WX,wx
PUT,ZL,zl
PUT,ZM,zm
PUT,ZN,zn
PUT,ZO,zo
PUT,ZH,zh
PUT,ZI,zi
PUT,ZJ,zj
PUT,ZK,zk
PUT,ZD,zd
PUT,ZE,ze
PUT,ZF,zf
PUT,ZG,zg
PUT,ZA,za
PUT,ZB,zb
PUT,ZC,zc
PUT,ZX,zx
PUT,ZY,zy
PUT,ZZ,zz
PUT,ZT,zt
PUT,ZU,zu
PUT,ZV,zv
PUT,ZW,zw
PUT,ZP,zp
PUT,ZQ,zq
PUT,ZR,zr
PUT,ZS,zs
PUT,ME,me
PUT,MD,md
PUT,MG,mg
PUT,MF,mf
PUT,MA,ma
PUT,MC,mc
PUT,MB,mb
PUT,MM,mm
PUT,ML,ml
PUT,MO,mo
PUT,MN,mn
PUT,MI,mi
PUT,MH,mh
PUT,MK,mk
PUT,MJ,mj
PUT,MU,mu
PUT,MT,mt
PUT,MW,mw
PUT,MV,mv
PUT,MQ,mq
PUT,MP,mp
PUT,MS,ms
PUT,MR,mr
PUT,MY,my
PUT,MX,mx
PUT,MZ,mz
PUT,FP,fp
PUT,FQ,fq
PUT,FR,fr
PUT,FS,fs
PUT,FT,ft
PUT,FU,fu
PUT,FV,fv
PUT,FW,fw
PUT,FX,fx
PUT,FY,fy
PUT,FZ,fz
PUT,FA,fa
PUT,FB,fb
PUT,FC,fc
PUT,FD,fd
PUT,FE,fe
PUT,FF,ff
PUT,FG,fg
PUT,FH,fh
PUT,FI,fi
PUT,FJ,fj
PUT,FK,fk
PUT,FL,fl
PUT,FM,fm
PUT,FN,fn
PUT,FO,fo
PUT,WI,wi
PUT,SZ,sz
PUT,SY,sy
PUT,SX,sx
PUT,SS,ss
PUT,SR,sr
PUT,SQ,sq
PUT,SP,sp
PUT,SW,sw
PUT,SV,sv
PUT,SU,su
PUT,ST,st
PUT,SK,sk
PUT,SJ,sj
PUT,SI,si
PUT,SH,sh
PUT,SO,so
PUT,SN,sn
PUT,SM,sm
PUT,SL,sl
PUT,SC,sc
PUT,SB,sb
PUT,SA,sa
PUT,SG,sg
PUT,SF,sf
PUT,SE,se
PUT,SD,sd
PUT,YI,yi
PUT,YH,yh
PUT,YK,yk
PUT,YJ,yj
PUT,YM,ym
PUT,YL,yl
PUT,YO,yo
PUT,YN,yn
PUT,YA,ya
PUT,YC,yc
PUT,YB,yb
PUT,YE,ye
PUT,YD,yd
PUT,YG,yg
PUT,YF,yf
PUT,YY,yy
PUT,YX,yx
PUT,YZ,yz
PUT,YQ,yq
PUT,YP,yp
PUT,YS,ys
PUT,YR,yr
PUT,YU,yu
PUT,YT,yt
PUT,YW,yw
PUT,YV,yv
PUT,LF,lf
PUT,LG,lg
PUT,LD,ld
PUT,LE,le
PUT,LB,lb
PUT,LC,lc
PUT,LA,la
PUT,LN,ln
PUT,LO,lo
PUT,LL,ll
PUT,LM,lm
PUT,LJ,lj
PUT,LK,lk
PUT,LH,lh
PUT,LI,li
PUT,LV,lv
PUT,LW,lw
PUT,LT,lt
PUT,LU,lu
PUT,LR,lr
PUT,LS,ls
PUT,LP,lp
PUT,LQ,lq
PUT,LZ,lz
PUT,LX,lx
PUT,LY,ly
PUT,RT,rt
PUT,RU,ru
PUT,RV,rv
PUT,RW,rw
PUT,RP,rp
PUT,RQ,rq
PUT,RR,rr
PUT,RS,rs
PUT,RX,rx
PUT,RY,ry
PUT,RZ,rz
PUT,RD,rd
PUT,RE,re
PUT,RF,rf
PUT,RG,rg
PUT,RA,ra
PUT,RB,rb
PUT,RC,rc
PUT,RL,rl
PUT,RM,rm
PUT,RN,rn
PUT,RO,ro
PUT,RH,rh
PUT,RI,ri
PUT,RJ,rj
PUT,RK,rk
PUT,VA,va
PUT,VC,vc
PUT,VH,vh
PUT,VI,vi
PUT,VJ,vj
PUT,EM,em
PUT,EL,el
PUT,EO,eo
PUT,EN,en
PUT,EI,ei
PUT,EH,eh
PUT,EK,ek
PUT,EJ,ej
PUT,EE,ee
PUT,ED,ed
PUT,EG,eg
PUT,EF,ef
PUT,EA,ea
PUT,EC,ec
PUT,EB,eb
PUT,EY,ey
PUT,EX,ex
PUT,EZ,ez
PUT,EU,eu
PUT,ET,et
PUT,EW,ew
PUT,EV,ev
PUT,EQ,eq
PUT,EP,ep
PUT,ES,es
PUT,ER,er
PUT,VP,vp
PUT,VQ,vq
PUT,VR,vr
PUT,VS,vs
PUT,VT,vt
PUT,VU,vu
PUT,VV,vv
PUT,VW,vw
PUT,VX,vx
PUT,VZ,vz
PUT,XJ,xj
PUT,XK,xk
PUT,XH,xh
PUT,XI,xi
PUT,XN,xn
PUT,XO,xo
PUT,XL,xl
PUT,XM,xm
PUT,XB,xb
PUT,XC,xc
PUT,XA,xa
PUT,XF,xf
PUT,XG,xg
PUT,XD,xd
PUT,XE,xe
PUT,XZ,xz
PUT,XX,xx
PUT,XY,xy
PUT,XR,xr
PUT,XS,xs
PUT,XP,xp
PUT,XQ,xq
PUT,XV,xv
PUT,XW,xw
PUT,XT,xt
PUT,XU,xu
PUT,KC,kc
PUT,KB,kb
PUT,KA,ka
PUT,KG,kg
PUT,KF,kf
PUT,KE,ke
PUT,KD,kd
PUT,KK,kk
PUT,KJ,kj
PUT,KI,ki
PUT,KH,kh
PUT,KO,ko
PUT,KN,kn
PUT,KM,km
PUT,KL,kl
PUT,KS,ks
PUT,KR,kr
PUT,KQ,kq
